productionvolume,supplierquality,defectrate,qualityscore,maintenancehours,inventoryturnover,stockoutrate,workerproductivity,safetyincidents,energyefficiency,defectstatus
202,86.64853384,3.121492267,63.46349433,9,8.63051535,0.081321681,85.04237928,0,0.468946624,1
535,86.31066361,0.819530511,83.69781763,20,9.296598088,0.03848647,99.65744298,7,0.119484558,1
960,82.13247238,4.514504071,90.35055003,1,5.097485701,0.002887365,92.81926429,2,0.496391526,1
370,87.33596641,0.63852396,67.62869012,8,3.577615991,0.055330971,96.88701346,8,0.183125088,1
206,81.98989338,3.867783603,82.72833363,9,6.851709481,0.068047139,88.31555364,7,0.263506944,1
171,95.33191889,3.914573642,92.56843594,19,7.930009366,0.074069495,87.07911774,7,0.118020523,1
800,99.32548595,4.788999884,90.72991111,10,3.046888531,0.040192495,91.0631579,8,0.333912881,1
120,99.40148913,0.743604838,92.11968071,13,8.380972117,0.009701963,88.70556885,3,0.293422106,1
714,97.30142199,3.185855874,95.17293699,2,3.66874656,0.058432643,94.2989611,4,0.366682814,1
221,92.01584299,2.425282568,97.50728409,0,5.933418343,0.032954789,85.3163618,6,0.317071251,0
566,94.01731394,1.987848297,76.22084621,6,8.851859599,0.094688748,88.99182062,1,0.259271114,0
314,85.70411605,0.906433521,82.7507641,3,3.547396088,0.050271211,97.90265495,6,0.395102679,0
430,92.6154084,3.031943539,91.62638104,6,3.935077184,0.047226605,95.12215801,2,0.110008451,1
558,89.11299099,2.655683266,87.88559256,15,2.502169252,0.030920953,83.3614033,5,0.316411608,1
187,89.6403468,0.970495062,99.82080913,9,3.172912894,0.033878651,97.73729659,5,0.145550482,0
472,95.15553121,3.256202782,60.54710604,14,3.172206558,0.051275478,91.78033181,5,0.274403333,1
199,85.63836711,3.820789041,74.20532861,15,3.627420017,0.03066648,93.58574367,9,0.416450127,1
971,86.36079223,3.952752355,71.24111705,5,4.289603177,0.089230488,85.88513132,1,0.156984299,1
763,98.49283582,4.574179347,70.49263401,3,8.519866916,0.043901793,88.83088527,8,0.47432414,1
230,81.1244859,2.342618338,68.9011913,3,9.326110913,0.029202208,96.13624958,7,0.455401877,1
761,89.71268597,4.788827459,88.36495363,23,5.250244874,0.015539483,86.61352438,6,0.265962028,1
408,98.25601601,4.394432323,63.39037893,22,3.025671616,0.067235073,83.30123231,8,0.102389936,1
869,92.20726016,1.83425707,89.66435336,3,3.790479401,0.002578694,87.56609826,3,0.415897931,1
443,90.92814148,1.216773668,87.73703368,21,7.889647815,0.044999579,81.38437335,1,0.452358321,1
591,84.99488358,2.459252283,70.0321653,21,7.419404154,0.055012182,94.35712917,3,0.169895237,1
513,86.86550978,2.308544186,70.11335133,16,9.737658413,0.033978461,82.95491818,9,0.466476884,1
905,97.04096832,3.090736874,85.15442341,12,2.115909445,0.074981775,85.70251814,2,0.465638911,1
485,91.18436264,3.125238045,90.48684422,1,8.006070082,0.06756605,97.62162011,1,0.28851634,1
291,90.29484388,3.87494143,95.05942452,19,6.046348804,0.097139899,90.80995316,1,0.419213924,1
376,81.99159427,2.794504767,94.08558255,5,9.221543823,0.05087668,86.42676881,7,0.277979191,0
260,80.32056313,0.971701884,98.59531977,21,6.609333393,0.053781236,90.9533378,4,0.325618506,1
559,99.27370377,4.36231101,83.25539581,0,5.573341796,0.024583932,84.36555319,5,0.227935604,1
413,87.53972335,1.893940624,96.34622245,7,7.326804876,0.038548389,80.50346259,7,0.163787738,0
121,92.06426124,4.870838571,92.34053093,17,8.668187537,0.002686059,92.07464958,6,0.398614634,1
352,81.59430146,1.030370489,95.78670497,20,4.259988401,0.068927479,94.28251866,6,0.100557138,1
847,93.66228571,4.812130275,60.46506405,3,2.86021635,0.03116228,97.59563531,6,0.331821076,1
956,98.65133417,0.909553131,98.63611967,4,5.464144947,0.054036701,95.43766722,6,0.445874411,1
660,91.51330506,1.539662621,78.94120651,4,3.716158982,0.02549924,98.53355401,7,0.188510915,0
574,82.52230645,0.709609739,91.92731958,14,5.436329403,0.06210362,99.71906951,0,0.233159783,1
158,91.63443055,3.67300916,65.08816477,9,9.928385382,0.044758249,94.89870895,2,0.334994341,1
610,95.32694426,4.326344315,75.83764383,7,6.59297675,0.048186065,97.35846602,0,0.198748099,1
781,88.12833073,2.453319868,70.85842652,6,7.548801783,0.094260714,93.47463006,7,0.438994743,1
575,97.59675496,4.678349338,71.66635082,11,7.42342738,0.070616032,83.41875582,1,0.246641267,1
799,92.97365907,3.156345823,64.9302248,10,8.56560669,0.026189974,83.63404853,6,0.332645488,1
882,97.98497837,3.33503211,92.2305533,12,9.553028792,0.050392182,82.20518913,5,0.190448459,1
289,92.47010622,4.304386408,60.36969258,14,7.270544786,0.046667282,98.8594944,0,0.116554535,1
786,82.62575944,1.835600923,72.50021828,16,5.808757158,0.079505261,93.45503396,5,0.169480106,1
662,86.19383422,2.094195746,66.97642173,21,4.542647571,0.083335511,95.79819501,8,0.118479575,1
975,84.03589897,4.576783636,83.56155762,21,4.882194401,0.028344282,86.62314674,2,0.28744156,1
666,98.17652995,4.554335732,70.1700961,17,4.675844865,0.082115145,89.2084342,6,0.334654956,1
343,95.20800135,4.894172493,70.35993818,7,4.59572393,0.017950141,80.79559064,3,0.117870083,1
931,93.52796738,4.558272424,79.53352576,5,7.557000035,0.076277055,97.78014801,0,0.136192889,1
604,86.01932639,1.073174162,86.10756157,10,6.70167224,0.024878454,97.06006859,6,0.294210011,0
230,83.68089544,4.206759288,64.85218818,8,3.615960359,0.029793116,95.6962267,0,0.419671973,1
584,95.12902176,2.344273151,67.0204581,4,9.757008153,0.085246784,81.16604135,3,0.351203672,1
918,89.48315892,4.958606102,69.88698978,6,5.421804123,0.042007487,83.48499471,8,0.141884088,1
746,84.51579104,2.625264339,98.94992856,21,6.528691209,0.099056582,86.68341316,4,0.45501691,1
120,92.33243956,2.992262371,75.8861,14,7.620807734,0.015194303,85.26125351,6,0.466980094,1
940,80.80667704,2.883987119,83.95960363,20,6.909419013,0.046334904,96.76919677,6,0.229982731,1
266,86.52340508,1.947816634,69.66171251,21,4.488414153,0.073245033,83.89671516,2,0.346407117,1
373,89.37113989,0.8375994,79.61838101,3,8.381652588,0.000536706,90.64248931,7,0.29693086,0
487,82.95916668,4.530430537,62.96476698,18,2.881229117,0.015185528,91.42762196,0,0.476809507,1
700,99.69308955,4.112041156,61.38968584,12,6.551966678,0.002035675,88.50023694,3,0.303499413,1
415,84.18194729,1.127870513,78.74934107,0,4.186537784,0.099287787,84.81375863,9,0.483986325,0
113,82.6070626,3.995457221,75.9463715,0,6.926098941,0.076062466,99.20588582,3,0.17973702,1
341,84.07069748,3.316309997,65.47521279,21,3.743947849,0.03735591,88.26798485,1,0.238214703,1
876,95.38122266,2.341147046,87.50405716,13,8.177597242,0.015628493,94.54619991,5,0.412538096,1
445,88.51011319,1.643095171,99.71613964,8,3.82029065,0.009038324,83.68092975,0,0.413444294,0
664,91.3083188,4.368779526,75.82587285,23,9.12313708,0.05319072,96.45622337,2,0.39287331,1
997,80.42018314,3.650847167,84.98234544,11,8.892439237,0.097589132,84.31783646,8,0.443844586,1
439,80.68862617,2.964829593,98.51903769,17,4.899147616,0.067461094,93.50613247,9,0.381018469,1
191,88.916511,3.243058403,93.2613989,8,5.086562311,0.036513837,90.12992003,5,0.354434058,1
466,96.33310486,0.909797819,78.54208893,7,7.612027661,0.050085097,82.93114282,1,0.283570005,0
554,97.70477757,2.632638924,89.49957938,13,2.722988304,0.099890337,80.49898392,8,0.286835097,1
527,81.73413135,1.371651318,65.12540161,8,2.647355297,0.051876623,98.61496531,1,0.262464597,1
608,90.76726204,1.437726556,80.48415422,19,3.090593575,0.096420149,82.51381027,6,0.34808472,1
875,98.26459373,3.47586783,71.16241109,1,6.499802684,0.001636172,94.09902857,0,0.262665572,1
134,87.75945509,4.600652683,66.44654752,0,3.192018439,0.072096313,93.05369918,4,0.158997726,1
305,96.59131663,2.316904747,77.05123625,12,4.220938254,0.062716145,86.83440085,6,0.142611846,1
180,82.67391309,1.434871729,65.24058218,9,7.17529126,0.068532986,83.70765799,2,0.46978891,1
661,98.70788979,3.419361218,87.95940433,7,2.124990223,0.057056709,83.56656499,3,0.109895563,1
971,95.02846635,4.420341709,78.24960176,6,3.441892864,0.004417678,91.70655706,4,0.142186905,1
487,98.82668786,3.867434605,81.2457853,23,9.439445303,0.014956394,90.93842589,2,0.27812195,1
101,93.53234467,4.409407537,65.85503755,11,7.308620987,0.092225127,97.51870041,5,0.205170507,1
489,87.26807864,2.91449602,65.59086644,16,4.444408914,0.023292501,92.80006157,2,0.26233956,1
665,98.76362345,3.8834431,83.33661741,11,2.362427392,0.099293727,96.38549952,7,0.146978953,1
205,85.51133553,1.130290517,99.40038991,15,6.688390467,0.067958848,80.64826125,6,0.152362775,1
871,86.64345044,2.067235769,63.85002333,9,3.782930479,0.044435449,93.41986294,0,0.420263163,1
921,94.01616836,2.25297124,71.42925714,11,9.68140351,0.092004886,84.67417277,1,0.403643498,1
